dataset,model,window_size,reopt_frequency,use_event_reoptimization,accuracy_monitor_window,accuracy_drop_threshold,min_blocks_between_reopts,pop_size,n_gen,accuracy_mean,accuracy_min,kappa_mean,diversity_mean,cost_mean,stream_time,optimization_time,total_time,num_reoptimizations,final_a,final_b,final_max_size
agrawal_recurrent,Learn++NSE fijo,,,,,,,,,0.6865641025641027,0.472,0.3936285546874168,0.2754593357583117,15.128205128205128,12.496412863000842,0.0,12.496412863000842,0,0.5,5.0,20
agrawal_recurrent,Learn++NSE + MOEA dinámico,15.0,5.0,True,4.0,0.1,4.0,6.0,3.0,0.693128205128205,0.464,0.396073660059807,0.2707619254613062,9.435897435897436,8.21326138099812,116.08059016800144,124.29385154899956,3,1.622471291320485,1.2785453015281394,14
