a,b,max_size,accuracy,diversity,cost
0.4121,3.332,21,0.674714,0.316492,294.0
1.5789,2.9772,16,0.672714,0.316492,224.0
0.6019,3.7575,6,0.670714,0.304843,84.0
0.5318,8.7642,7,0.664571,0.310733,98.0
0.5318,9.0693,7,0.664571,0.310733,98.0
1.5462,12.0049,8,0.664286,0.315165,112.0
1.3928,12.7208,8,0.664286,0.315165,112.0
0.4121,8.6382,5,0.663714,0.293519,70.0
1.2788,12.4308,15,0.657714,0.316492,210.0
1.2803,12.5187,15,0.657714,0.316492,210.0
