block_index,a,b,recent_accuracy,diversity,complexity,evaluation_elapsed
44,0.827,12.0598,0.672,0.285011,0.805026,0.805026
44,1.2696,6.2156,0.67,0.285011,0.791808,0.791808
45,1.8587,1.0004,0.68,0.280963,0.782498,0.782498
45,1.107,11.8888,0.671,0.280963,0.775999,0.775999
46,0.4284,5.4015,0.69,0.280374,0.773225,0.773225
46,1.4082,10.6442,0.689,0.280374,0.770585,0.770585
46,0.4919,10.8446,0.688,0.280374,0.765614,0.765614
47,1.5786,10.2549,0.731,0.283732,0.781044,0.781044
47,1.194,11.7791,0.729,0.283732,0.772828,0.772828
47,0.6621,3.4823,0.726,0.283732,0.772806,0.772806
47,0.9211,1.2753,0.714,0.283732,0.772513,0.772513
47,1.4891,1.2753,0.711,0.283732,0.769959,0.769959
48,1.0852,6.8569,0.698,0.279221,0.779666,0.779666
49,0.8569,7.3697,0.695,0.264647,0.803117,0.803117
49,0.8569,9.0332,0.691,0.264647,0.801401,0.801401
50,0.1094,1.3367,0.686,0.267726,0.83862,0.83862
50,0.1665,1.0233,0.685,0.267726,0.833039,0.833039
50,0.1765,13.0046,0.684,0.267726,0.822782,0.822782
51,1.9808,6.6078,0.675,0.267432,0.829906,0.829906
51,1.9469,7.1666,0.674,0.267432,0.802577,0.802577
51,1.9724,8.6045,0.673,0.267432,0.793826,0.793826
52,0.5554,12.0417,0.685,0.260047,0.807006,0.807006
53,0.5883,7.9997,0.689,0.249021,0.848098,0.848098
53,0.7575,7.9997,0.688,0.249021,0.840854,0.840854
54,1.4854,11.2745,0.687,0.240021,0.840509,0.840509
55,1.087,14.7494,0.715,0.237932,0.854672,0.854672
55,1.087,14.6984,0.714,0.237932,0.812895,0.812895
55,1.9108,2.4732,0.706,0.237932,0.812516,0.812516
55,1.8912,3.3664,0.704,0.237932,0.805976,0.805976
56,1.9046,13.7903,0.695,0.247595,0.853419,0.853419
56,1.8929,12.9186,0.685,0.247595,0.806543,0.806543
56,0.2372,5.0758,0.67,0.247595,0.797828,0.797828
56,0.6314,1.6414,0.662,0.247595,0.797589,0.797589
57,0.6449,11.9327,0.673,0.242984,0.841073,0.841073
57,1.0615,8.9113,0.672,0.242984,0.822786,0.822786
57,1.6582,4.6275,0.67,0.242984,0.80746,0.80746
58,1.9648,4.9864,0.698,0.233289,0.835093,0.835093
58,0.7761,1.5682,0.697,0.233289,0.804043,0.804043
58,1.6015,13.7448,0.695,0.233289,0.797124,0.797124
