block_index,window_start,window_end,a,b,max_size,window_recent_accuracy,window_diversity,window_complexity,compromise_score,pareto_index,optimizer_elapsed,pareto_size
20,6,20,0.9376539877045704,9.593278440947433,5,0.6517142857142858,0.29562380952380946,70.0,0.35,1,40.656395892000546,6
27,13,27,1.8622568606127876,12.515408184470177,22,0.6804285714285714,0.31888005248719536,308.0,0.2,2,37.52074360300048,6
35,21,35,1.622471291320485,1.2785453015281394,14,0.6902857142857144,0.33010510600510606,196.0,0.2,3,37.90345067300041,6
